methodology_type,dataset_name,bias_classes,fairness_metrics,main_results,limitations,evaluation_scenario,fairness_definitions,software_library,future_work,main_contribution,filename
Not explicitly mentioned,"['MIMIC-III', 'Adult']","['Race', 'Ethnicity', 'Geographic location', 'Socioeconomic status']","['Equalized Odds', 'Demographic Parity']","['AI has made significant strides in cancer diagnosis, offering new tools that can improve the accuracy and speed of detecting various cancers.']","['Concerns about biased datasets, underrepresentation of minority populations, lack of diversity among developers and researchers working on AI.']",Real,"['Group', 'Individual']","['Fairlearn', 'PyTorch']","['Addressing disparities in AI diagnostic tools requires a concerted effort; creating more inclusive datasets, engaging diverse stakeholders in AI development.']",The review aims to evaluate the impact of artificial intelligence (AI) on cancer health equity.,s11912-024-01627-1.pdf
Not explicitly mentioned,Not explicitly mentioned,"['Race', 'Gender', 'Age']","['Equalized Odds', 'Demographic Parity']",Not explicitly mentioned,"['quality and representativeness of training data', 'intersectionality of biases', 'dynamic nature of biases', 'lack of transparency in advanced methods', 'resource intensity', 'ethical considerations', 'regulatory variations', 'performance vs. fairness trade-off', 'limited scope', 'continuous evolution']",Not explicitly mentioned,"['Group', 'Individual']","Fairlearn, PyTorch (not specifically mentioned)","['Ongoing research and development in this area to effectively identify and remove biases from deep learning models', 'Interdisciplinary approaches, such as incorporating insights from cognitive science, social sciences, and ethics, enhance our understanding and management of bias']",A comprehensive review and analysis that sheds light on the multifaceted nature of bias in deep learning,s11831-024-10134-2.pdf
Synthetic Data Generation,['EHR datasets'],"['protected attributes', 'sensitive features']","['group fairness', 'individual fairness']",proposed pipeline can effectively help with mitigating fairness in various downstream tasks while maintaining a reasonable trade-off between improving fairness and the performance of the downstream tasks,"the process of fairness-aware synthetic data generation inevitably alters the underlying data distribution, which may result in a degree of performance degradation compared to those trained on the original, unmodified data",Real (EHR) and Synthetic datasets,"['Group Fairness', 'Individual Fairness']",['Not explicitly mentioned'], directions for subsequent study,proposing an end-to-end pipeline for the mitigation of fairness concerns in arbitrary downstream tasks using EHR data,3721201.3721373.pdf
Conditional Generative Models (CGMs),Not explicitly mentioned,None specified,Not explicitly mentioned,This review surveys the recent development of CGMs for tabular data from the lens of medical applications.,Not explicitly mentioned,Real-world datasets,"Group fairness, Individual fairness, Counterfactual fairness not specified","Fairlearn, PyTorch not mentioned","Technical, medical, and ethical challenges that necessitate further exploration.",This review highlights the potential of conditional generative models (CGMs) to create patient-specific synthetic data for a variety of precision medicine applications.,annurev-biodatasci-103123-094844.pdf
GAN,US National Health Interview Survey (NHIS) data (2020-2022),['social economic factors'],"['AUC', 'accuracy', 'true positive and false positive rates']","The study found that subgroup disparities were prevalent (50.7%) in the models. Subgroup AUCs were generally lower, with a mean difference of 0.01, ranging from -0.29 to +0.41.","Some studies assessed the fairness of health risk prediction models focusing on specific vulnerable populations such as African Americans. Other studies developed mitigation strategies, including generating and adding synthetic data to an existing dataset.",Real,['Group'],Not explicitly mentioned,"More experiments are needed to determine how often and to what extent the new mitigation strategies, such as synthetic data generation, can enhance disparity.",This study assesses the prevalence of subgroup disparity when modeling COVID-19 test outcomes in children and tests if the disparities are statistically significant.,nihpp-2024.09.18.24313889v1.pdf
Literature survey,Not explicitly mentioned,"['Race', 'Ethnicity', 'Gender', 'Socioeconomic lines']",[{'name': 'Not explicitly mentioned'}],This paper highlights technical and ethical dimensions of applying AI to assess risks that AI may also exacerbate discrimination against vulnerable populations.,"The authors highlight the need for thoughtful design, diverse community engagement, collaboration, and social/cultural contextual understanding to ensure AI promotes health equity rather than reinforcing the status quo.",Real,[{'category': 'Group'}],['Not explicitly mentioned'],"To harness AI to dismantle injustice, while avoiding pitfalls that could perpetuate discrimination under the influx of technology.",This study aims to propose an integrated inclusive smart health model that considers both technical interventions as well as broader participatory and ethical approaches.,3657054.3657152.pdf
Deep Learning,"['EHRs', 'insurance claims data', 'census data', 'geospatial analytics']","['socioeconomic status', 'geographic location', 'demographic characteristics']","['Equalized Odds', 'Demographic Parity']","['prediction accuracy while minimizing disparities', 'achieves better fairness and interpretability than conventional models']",['lack of data that reflects patterns of disparity in real-time and at a granular level'],Real,"['Group', 'Individual']",['Fairlearn'],['Longitudinal studies can further the adaptability and transparency of predictive models for healthcare'],This study develops prediction models for healthcare access and outcomes that leverage deep learning with bias-attenuating modelling approaches.,s44163-025-00425-3.pdf
Not explicitly mentioned,"['MIDRC', 'over 150,000 imaging studies (mainly chest radiographs and CTs)']",['unspecified'],['Not explicitly mentioned'],['Identification of sources of bias in AI/ML along the pipeline for AI/ML in medical imaging'],['Not explicitly mentioned'],Real,"['Group', 'Individual', 'Counterfactual']",['Gen3 data commons platform'],['Mitigation strategies and best practices for AI/ML development'],"To provide a valuable resource to researchers, clinicians, and the public at large",JMI-010-061104.pdf
Error,Error,Error,Error,,,,,,,Error,41666_2023_Article_133.pdf
Error,Error,Error,Error,,,,,,,Error,1-s2.0-S0010482525001805-main.pdf
Mixed-integer linear optimization model,German Health Survey (GEDA),['Age'],"['Equalized Odds', 'Demographic Parity']",Our approach yields better classification results than a standard random forest when considering different ages as sensitive groups.,Not explicitly mentioned,Real,Group,Not explicitly mentioned,Directions for subsequent study: none specified,"A fair and calibrated ensemble method that imposes cardinality constraints on the classification of unlabeled data, for some sensitive groups.",1-s2.0-S0305054825003661-main.pdf
GAN,['MIMIC-III'],"['correlation biases', 'representation biases']","['Equalized Odds', 'Demographic Parity']",['state-of-the-art accuracy while significantly improving fairness and minimizing bias amplification'],"['neglecting the crucial aspect of fairness in downstream predictions', 'amplifying spurious correlations']",Real,"['Group', 'Individual', 'Counterfactual']","['Fairlearn', 'PyTorch']",['Directions for subsequent study'],Introduces a novel and professional approach to addressing the limitations of synthetic data generation in the healthcare domain,Ramachandranpillai_2024_Bt-GAN_ Generating Fair Synthetic Healthdata via B.pdf
Error,Error,Error,Error,,,,,,,Error,1-s2.0-S1532046423001570-main.pdf
